"time","log.status.actuals","log.status.forecasts"
298,2.89037175789616;2.89037175789616;2.89037175789616,
299,2.89037175789616;2.89037175789616;2.89037175789616,
300,2.89037175789616;2.89037175789616;2.89037175789616,
301,2.89037175789616;2.89037175789616;2.89037175789616,
302,2.89037175789616;2.89037175789616;2.89037175789616,
303,2.89037175789616;2.89037175789616;2.89037175789616,
304,2.89037175789616;2.89037175789616;2.89037175789616,
305,2.89037175789616;2.89037175789616;2.89037175789616,
306,2.89037175789616;2.89037175789616;2.89037175789616,
307,2.89037175789616;2.89037175789616;2.89037175789616,
308,2.89037175789616;2.89037175789616;2.89037175789616,
309,2.89037175789616;2.89037175789616;2.89037175789616,
310,2.89037175789616;2.89037175789616;2.89037175789616,
311,2.89037175789616;2.89037175789616;2.89037175789616,
312,2.89037175789616;2.89037175789616;2.89037175789616,
313,2.89037175789616;2.89037175789616;2.89037175789616,
314,2.89037175789616;2.89037175789616;2.89037175789616,
315,2.89037175789616;2.89037175789616;2.89037175789616,
316,2.89037175789616;2.89037175789616;2.89037175789616,
317,2.89037175789616;2.89037175789616;2.89037175789616,
318,2.89037175789616;2.89037175789616;2.89037175789616,
319,2.89037175789616;2.89037175789616;2.89037175789616,
320,2.89037175789616;2.89037175789616;2.89037175789616,
321,2.89037175789616;2.89037175789616;2.89037175789616,
322,2.89037175789616;2.89037175789616;2.89037175789616,
323,2.89037175789616;2.89037175789616;2.89037175789616,
324,2.89037175789616;2.89037175789616;2.89037175789616,
325,2.89037175789616;2.89037175789616;2.89037175789616,
326,2.89037175789616;2.89037175789616;2.89037175789616,
327,2.89037175789616;2.89037175789616;2.89037175789616,
328,2.89037175789616;2.89037175789616;2.89037175789616,
329,2.89037175789616;2.89037175789616;2.89037175789616,
330,2.89037175789616;2.89037175789616;2.89037175789616,
331,2.89037175789616;2.89037175789616;2.89037175789616,
332,2.89037175789616;2.89037175789616;2.89037175789616,
333,2.89037175789616;2.89037175789616;2.89037175789616,
334,2.89037175789616;2.89037175789616;2.89037175789616,
335,2.89037175789616;2.89037175789616;2.89037175789616,
336,2.89037175789616;2.89037175789616;2.89037175789616,
337,2.89037175789616;2.89037175789616;2.89037175789616,
338,2.89037175789616;2.89037175789616;2.89037175789616,
339,2.89037175789616;2.89037175789616;2.89037175789616,
340,2.89037175789616;2.89037175789616;2.89037175789616,
341,2.89037175789616;2.89037175789616;2.89037175789616,
342,2.89037175789616;2.89037175789616;2.89037175789616,
343,2.89037175789616;2.89037175789616;2.89037175789616,
344,2.89037175789616;2.89037175789616;2.89037175789616,
345,2.89037175789616;2.89037175789616;2.89037175789616,
346,2.89037175789616;2.89037175789616;2.89037175789616,
347,2.89037175789616;2.89037175789616;2.89037175789616,
348,2.89037175789616;2.89037175789616;2.89037175789616,
349,2.89037175789616;2.89037175789616;2.89037175789616,
350,2.89037175789616;2.89037175789616;2.89037175789616,
351,2.89037175789616;2.89037175789616;2.89037175789616,
352,2.89037175789616;2.89037175789616;2.89037175789616,
353,2.89037175789616;2.89037175789616;2.89037175789616,
354,2.89037175789616;2.89037175789616;2.89037175789616,
355,2.89037175789616;2.89037175789616;2.89037175789616,
356,2.89037175789616;2.89037175789616;2.89037175789616,
357,2.89037175789616;2.89037175789616;2.89037175789616,
358,2.89037175789616;2.89037175789616;2.89037175789616,
359,2.89037175789616;2.89037175789616;2.89037175789616,
360,2.89037175789616;2.89037175789616;2.89037175789616,
361,2.89037175789616;2.89037175789616;2.89037175789616,
362,2.89037175789616;2.89037175789616;2.89037175789616,
363,2.89037175789616;2.89037175789616;2.89037175789616,
364,2.89037175789616;2.89037175789616;2.89037175789616,
365,2.89037175789616;2.89037175789616;2.89037175789616,
366,2.89037175789616;2.89037175789616;2.89037175789616,
367,2.89037175789616;2.89037175789616;2.89037175789616,
368,2.89037175789616;2.89037175789616;2.89037175789616,
369,2.89037175789616;2.89037175789616;2.89037175789616,
370,2.89037175789616;2.89037175789616;2.89037175789616,
371,2.89037175789616;2.89037175789616;2.89037175789616,
372,2.89037175789616;2.89037175789616;2.89037175789616,
373,2.89037175789616;2.89037175789616;2.89037175789616,
374,2.89037175789616;2.89037175789616;2.89037175789616,
375,2.89037175789616;2.89037175789616;2.89037175789616,
376,2.89037175789616;2.89037175789616;2.89037175789616,
377,2.89037175789616;2.89037175789616;2.89037175789616,
378,2.89037175789616;2.89037175789616;2.89037175789616,
379,2.89037175789616;2.89037175789616;2.89037175789616,
380,2.89037175789616;2.89037175789616;2.89037175789616,
381,2.89037175789616;2.89037175789616;2.89037175789616,
382,2.89037175789616;2.89037175789616;2.89037175789616,
383,2.89037175789616;2.89037175789616;2.89037175789616,
384,2.89037175789616;2.89037175789616;2.89037175789616,
385,2.89037175789616;2.89037175789616;2.89037175789616,
386,2.89037175789616;2.89037175789616;2.89037175789616,
387,2.89037175789616;2.89037175789616;2.89037175789616,
388,2.89037175789616;2.89037175789616;2.89037175789616,
389,2.89037175789616;2.89037175789616;2.89037175789616,
390,2.89037175789616;2.89037175789616;2.89037175789616,
391,2.89037175789616;2.89037175789616;2.89037175789616,
392,2.89037175789616;2.89037175789616;2.89037175789616,
393,2.89037175789616;2.89037175789616;2.89037175789616,
394,2.89037175789616;2.89037175789616;2.89037175789616,
395,2.89037175789616;2.89037175789616;2.89037175789616,
396,2.89037175789616;2.89037175789616;2.89037175789616,
397,2.89037175789616;2.89037175789616;2.89037175789616,
398,2.89037175789616;2.89037175789616;2.89037175789616,
399,2.89037175789616;2.89037175789616;2.89037175789616,
400,2.89037175789616;2.89037175789616;2.89037175789616,
401,2.89037175789616;2.89037175789616;2.89037175789616,
402,2.89037175789616;2.89037175789616;2.89037175789616,
403,2.89037175789616;2.89037175789616;2.89037175789616,
404,2.89037175789616;2.89037175789616;2.89037175789616,
405,2.89037175789616;2.89037175789616;2.89037175789616,
406,2.89037175789616;2.89037175789616;2.89037175789616,
407,2.89037175789616;2.89037175789616;2.89037175789616,
408,2.89037175789616;2.89037175789616;2.89037175789616,
409,2.89037175789616;2.89037175789616;2.89037175789616,
410,2.89037175789616;2.89037175789616;2.89037175789616,
411,2.89037175789616;2.89037175789616;2.89037175789616,
412,2.89037175789616;2.89037175789616;2.89037175789616,
413,2.89037175789616;2.89037175789616;2.89037175789616,
414,2.89037175789616;2.89037175789616;2.89037175789616,
415,2.89037175789616;2.89037175789616;2.89037175789616,
416,2.89037175789616;2.89037175789616;2.89037175789616,
417,2.89037175789616;2.89037175789616;2.89037175789616,
418,2.89037175789616;2.89037175789616;2.89037175789616,
419,2.89037175789616;2.89037175789616;2.89037175789616,
420,2.89037175789616;2.89037175789616;2.89037175789616,
421,2.89037175789616;2.89037175789616;2.89037175789616,
422,2.89037175789616;2.89037175789616;2.89037175789616,
423,2.89037175789616;2.89037175789616;2.89037175789616,
424,2.89037175789616;2.89037175789616;2.89037175789616,
425,2.89037175789616;2.89037175789616;2.89037175789616,
426,2.89037175789616;2.89037175789616;2.89037175789616,
427,2.89037175789616;2.89037175789616;2.89037175789616,
428,2.89037175789616;2.89037175789616;2.89037175789616,
429,2.89037175789616;2.89037175789616;2.89037175789616,
430,2.89037175789616;2.89037175789616;2.89037175789616,
431,2.89037175789616;2.89037175789616;2.89037175789616,
432,2.89037175789616;2.89037175789616;2.89037175789616,
433,2.89037175789616;2.89037175789616;2.89037175789616,
434,2.89037175789616;2.89037175789616;2.89037175789616,
435,2.89037175789616;2.89037175789616;2.89037175789616,
436,2.89037175789616;2.89037175789616;2.89037175789616,
437,2.89037175789616;2.89037175789616;2.89037175789616,
438,2.89037175789616;2.89037175789616;2.89037175789616,
439,2.89037175789616;2.89037175789616;2.89037175789616,
440,2.89037175789616;2.89037175789616;2.89037175789616,
441,2.89037175789616;2.89037175789616;2.89037175789616,
442,2.89037175789616;2.89037175789616;2.89037175789616,
443,2.89037175789616;2.89037175789616;2.89037175789616,
